linha,tipo_cartao,n
816 - Edson Queiroz/Centro,Inteira,1203
816 - Edson Queiroz/Centro,Vale Transporte,2813
81 - Cj Ceara/Antonio Bez,Estudante,395
81 - Cj Ceara/Antonio Bez,Gratuidade,164
81 - Cj Ceara/Antonio Bez,Inteira,611
81 - Cj Ceara/Antonio Bez,Vale Transporte,897
820 - Papicu/Cj Alvorada,Estudante,1107
820 - Papicu/Cj Alvorada,Gratuidade,213
820 - Papicu/Cj Alvorada,Inteira,1138
820 - Papicu/Cj Alvorada,Vale Transporte,2061
825 - Cidade Func/Papicu/J,Estudante,426
825 - Cidade Func/Papicu/J,Gratuidade,99
825 - Cidade Func/Papicu/J,Inteira,460
825 - Cidade Func/Papicu/J,Vale Transporte,854
82 - Ant. Bezerra/Mess/Pe,Estudante,1034
82 - Ant. Bezerra/Mess/Pe,Gratuidade,231
82 - Ant. Bezerra/Mess/Pe,Inteira,1555
82 - Ant. Bezerra/Mess/Pe,Vale Transporte,2466
832 - Papicu/Cidade 2000,Estudante,669
832 - Papicu/Cidade 2000,Gratuidade,220
832 - Papicu/Cidade 2000,Inteira,997
832 - Papicu/Cidade 2000,Vale Transporte,1368
833 - Cidade 2000/Centro,Estudante,792
833 - Cidade 2000/Centro,Gratuidade,408
833 - Cidade 2000/Centro,Inteira,1314
833 - Cidade 2000/Centro,Vale Transporte,1859
835 - DEFENSORIA/PAPICU/VI,Estudante,93
835 - DEFENSORIA/PAPICU/VI,Gratuidade,36
835 - DEFENSORIA/PAPICU/VI,Inteira,101
835 - DEFENSORIA/PAPICU/VI,Vale Transporte,231
83 - ceara/lagoa/aanjos,Estudante,471
83 - ceara/lagoa/aanjos,Gratuidade,167
83 - ceara/lagoa/aanjos,Inteira,626
83 - ceara/lagoa/aanjos,Vale Transporte,949
841 - HGF/PAPICU,Estudante,410
841 - HGF/PAPICU,Gratuidade,176
841 - HGF/PAPICU,Inteira,782
841 - HGF/PAPICU,Vale Transporte,1266
84 - Siqueira/Messejana/P,Estudante,486
84 - Siqueira/Messejana/P,Gratuidade,158
84 - Siqueira/Messejana/P,Inteira,908
84 - Siqueira/Messejana/P,Vale Transporte,1632
855 - Bezerra de Menezes/,Estudante,3820
855 - Bezerra de Menezes/,Gratuidade,388
855 - Bezerra de Menezes/,Inteira,2418
855 - Bezerra de Menezes/,Vale Transporte,4634
85 - lagoa/aldeota/j.bast,Estudante,582
85 - lagoa/aldeota/j.bast,Gratuidade,163
85 - lagoa/aldeota/j.bast,Inteira,716
85 - lagoa/aldeota/j.bast,Vale Transporte,2131
86 - Bezerra / S.Dumont,Estudante,1592
86 - Bezerra / S.Dumont,Gratuidade,321
86 - Bezerra / S.Dumont,Inteira,2219
86 - Bezerra / S.Dumont,Vale Transporte,3789
87 - EXPRESSO/SIQUEIRA/PA,Estudante,154
87 - EXPRESSO/SIQUEIRA/PA,Gratuidade,7
87 - EXPRESSO/SIQUEIRA/PA,Inteira,368
87 - EXPRESSO/SIQUEIRA/PA,Vale Transporte,912
88 - Antonio Bezerra/Albe,Estudante,1578
88 - Antonio Bezerra/Albe,Gratuidade,186
88 - Antonio Bezerra/Albe,Inteira,1016
88 - Antonio Bezerra/Albe,Vale Transporte,2132
8 - TERMINAL PAPICU,Estudante,564
8 - TERMINAL PAPICU,Gratuidade,65
8 - TERMINAL PAPICU,Inteira,772
8 - TERMINAL PAPICU,Vale Transporte,1134
901 - Dom Luiz,Estudante,616
901 - Dom Luiz,Gratuidade,304
901 - Dom Luiz,Inteira,1273
901 - Dom Luiz,Vale Transporte,1816
903 - Varjota,Estudante,260
903 - Varjota,Gratuidade,177
903 - Varjota,Inteira,617
903 - Varjota,Vale Transporte,760
905 - Meireles,Estudante,537
905 - Meireles,Gratuidade,233
905 - Meireles,Inteira,1167
905 - Meireles,Vale Transporte,1731
906 - Caca e Pesca/Servilu,Estudante,887
906 - Caca e Pesca/Servilu,Gratuidade,457
906 - Caca e Pesca/Servilu,Inteira,2058
906 - Caca e Pesca/Servilu,Vale Transporte,2316
907 - Castelo Encantado/Ce,Estudante,296
907 - Castelo Encantado/Ce,Gratuidade,207
907 - Castelo Encantado/Ce,Inteira,833
907 - Castelo Encantado/Ce,Vale Transporte,1113
909 - Praia do Futuro/Caca,Estudante,548
909 - Praia do Futuro/Caca,Gratuidade,212
909 - Praia do Futuro/Caca,Inteira,1672
909 - Praia do Futuro/Caca,Vale Transporte,1655
90 - Corujao/Montese,Inteira,5
90 - Corujao/Montese,Vale Transporte,12
913 - Papicu/Serviluz/Varj,Estudante,530
913 - Papicu/Serviluz/Varj,Gratuidade,129
913 - Papicu/Serviluz/Varj,Inteira,799
913 - Papicu/Serviluz/Varj,Vale Transporte,1246
920 - Papicu/Caca Pesca,Estudante,606
920 - Papicu/Caca Pesca,Gratuidade,195
920 - Papicu/Caca Pesca,Inteira,1337
920 - Papicu/Caca Pesca,Vale Transporte,1541
92 - AB/PAP/PIRA,Estudante,1612
92 - AB/PAP/PIRA,Gratuidade,380
92 - AB/PAP/PIRA,Inteira,2921
92 - AB/PAP/PIRA,Vale Transporte,4475
95 - Corujao/Cj Pref. Jos,Estudante,2
95 - Corujao/Cj Pref. Jos,Inteira,4
95 - Corujao/Cj Pref. Jos,Vale Transporte,3
96 - CONJUNTO CEARA/BARAO,Estudante,209
96 - CONJUNTO CEARA/BARAO,Gratuidade,32
96 - CONJUNTO CEARA/BARAO,Inteira,190
96 - CONJUNTO CEARA/BARAO,Vale Transporte,572
97 - Antonio Bezerra/Siqu,Estudante,549
97 - Antonio Bezerra/Siqu,Gratuidade,121
97 - Antonio Bezerra/Siqu,Inteira,693
97 - Antonio Bezerra/Siqu,Vale Transporte,1090
98 - EXPRESSO / ANTONIO B,Estudante,366
98 - EXPRESSO / ANTONIO B,Gratuidade,41
98 - EXPRESSO / ANTONIO B,Inteira,657
98 - EXPRESSO / ANTONIO B,Vale Transporte,1333
99 - Siqueira/Mucuripe/Ba,Estudante,1355
99 - Siqueira/Mucuripe/Ba,Gratuidade,243
99 - Siqueira/Mucuripe/Ba,Inteira,1871
99 - Siqueira/Mucuripe/Ba,Vale Transporte,3880
