linha,tipo_cartao,n
226 - EXP/A.BEZ/MES,Inteira,621
226 - EXP/A.BEZ/MES,Vale Transporte,1344
22 - Jd. Oliveiras/Centro,Estudante,381
22 - Jd. Oliveiras/Centro,Gratuidade,168
22 - Jd. Oliveiras/Centro,Inteira,424
22 - Jd. Oliveiras/Centro,Vale Transporte,838
23 - Corujao/Edson Queiro,Estudante,1
23 - Corujao/Edson Queiro,Inteira,2
23 - Corujao/Edson Queiro,Vale Transporte,5
243 - Parque Univ./Ant. Be,Estudante,305
243 - Parque Univ./Ant. Be,Gratuidade,49
243 - Parque Univ./Ant. Be,Inteira,400
243 - Parque Univ./Ant. Be,Vale Transporte,619
244 - ANTONIO BEZERRA/PARA,Estudante,782
244 - ANTONIO BEZERRA/PARA,Gratuidade,155
244 - ANTONIO BEZERRA/PARA,Inteira,698
244 - ANTONIO BEZERRA/PARA,Vale Transporte,1028
24 - ANTONIO BEZERRA/LAGO,Estudante,4157
24 - ANTONIO BEZERRA/LAGO,Gratuidade,422
24 - ANTONIO BEZERRA/LAGO,Inteira,2937
24 - ANTONIO BEZERRA/LAGO,Vale Transporte,5358
25 - LAGOA/OPAIA,Estudante,175
25 - LAGOA/OPAIA,Gratuidade,68
25 - LAGOA/OPAIA,Inteira,222
25 - LAGOA/OPAIA,Vale Transporte,398
260 - QUINTINO CUNHA/RIOMA,Estudante,50
260 - QUINTINO CUNHA/RIOMA,Gratuidade,10
260 - QUINTINO CUNHA/RIOMA,Inteira,29
260 - QUINTINO CUNHA/RIOMA,Vale Transporte,75
26 - Antonio Bezerra/Mess,Estudante,1927
26 - Antonio Bezerra/Mess,Gratuidade,149
26 - Antonio Bezerra/Mess,Inteira,2624
26 - Antonio Bezerra/Mess,Vale Transporte,3856
27 - Siqueira/Papicu/Aero,Estudante,1555
27 - Siqueira/Papicu/Aero,Gratuidade,223
27 - Siqueira/Papicu/Aero,Inteira,1925
27 - Siqueira/Papicu/Aero,Vale Transporte,4034
286 - EXP/BEZ/SDUM,Estudante,230
286 - EXP/BEZ/SDUM,Gratuidade,38
286 - EXP/BEZ/SDUM,Inteira,350
286 - EXP/BEZ/SDUM,Vale Transporte,807
28 - Antonio Bezerra/Papi,Estudante,2270
28 - Antonio Bezerra/Papi,Gratuidade,300
28 - Antonio Bezerra/Papi,Inteira,3273
28 - Antonio Bezerra/Papi,Vale Transporte,4506
29 - Parangaba/Nautico,Estudante,2908
29 - Parangaba/Nautico,Gratuidade,218
29 - Parangaba/Nautico,Inteira,2150
29 - Parangaba/Nautico,Vale Transporte,4075
302 - RODOLFO TEOFILO/JOSE,Estudante,206
302 - RODOLFO TEOFILO/JOSE,Gratuidade,135
302 - RODOLFO TEOFILO/JOSE,Inteira,262
302 - RODOLFO TEOFILO/JOSE,Vale Transporte,426
303 - Igreja Sao Raimundo,Estudante,235
303 - Igreja Sao Raimundo,Gratuidade,91
303 - Igreja Sao Raimundo,Inteira,283
303 - Igreja Sao Raimundo,Vale Transporte,391
304 - Bela Vista/Lagoa,Estudante,265
304 - Bela Vista/Lagoa,Gratuidade,167
304 - Bela Vista/Lagoa,Inteira,435
304 - Bela Vista/Lagoa,Vale Transporte,618
305 - Bela Vista/Humberto,Estudante,335
305 - Bela Vista/Humberto,Gratuidade,146
305 - Bela Vista/Humberto,Inteira,287
305 - Bela Vista/Humberto,Vale Transporte,657
307 - Itaoca/Jardim Americ,Estudante,432
307 - Itaoca/Jardim Americ,Gratuidade,134
307 - Itaoca/Jardim Americ,Inteira,387
307 - Itaoca/Jardim Americ,Vale Transporte,554
308 - Democrito Rocha,Estudante,344
308 - Democrito Rocha,Gratuidade,144
308 - Democrito Rocha,Inteira,431
308 - Democrito Rocha,Vale Transporte,663
309 - Cj Sumare/Parangaba,Estudante,425
309 - Cj Sumare/Parangaba,Gratuidade,121
309 - Cj Sumare/Parangaba,Inteira,322
309 - Cj Sumare/Parangaba,Vale Transporte,482
30 - Siqueira/Papicu/13 d,Estudante,3542
30 - Siqueira/Papicu/13 d,Gratuidade,423
30 - Siqueira/Papicu/13 d,Inteira,2515
30 - Siqueira/Papicu/13 d,Vale Transporte,4873
310 - Campus Univ./Pan Ame,Estudante,306
310 - Campus Univ./Pan Ame,Gratuidade,105
310 - Campus Univ./Pan Ame,Inteira,317
310 - Campus Univ./Pan Ame,Vale Transporte,587
311 - Castelao/Parangaba,Estudante,818
311 - Castelao/Parangaba,Gratuidade,215
311 - Castelao/Parangaba,Inteira,677
311 - Castelao/Parangaba,Vale Transporte,1244
312 - Dias Macedo/Parangab,Estudante,574
312 - Dias Macedo/Parangab,Gratuidade,221
312 - Dias Macedo/Parangab,Inteira,566
312 - Dias Macedo/Parangab,Vale Transporte,904
313 - Parangaba/Alto da Pa,Estudante,560
313 - Parangaba/Alto da Pa,Gratuidade,138
313 - Parangaba/Alto da Pa,Inteira,602
313 - Parangaba/Alto da Pa,Vale Transporte,803
314 - Henrique Jorge,Estudante,448
314 - Henrique Jorge,Gratuidade,163
314 - Henrique Jorge,Inteira,474
314 - Henrique Jorge,Vale Transporte,746
